time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2020-08-10T16:42:24.680Z,33.2415,-115.6643333,8.38,1.36,ml,15,79,0.06793,0.3,ci,ci37452573,2020-08-13T21:02:00.625Z,"14km W of Niland, CA",earthquake,0.62,1.6,,1,reviewed,ci,ci
2020-08-10T16:42:32.120Z,33.2346667,-115.7005,3.04,1.23,ml,14,63,0.08313,0.2,ci,ci39338607,2020-08-13T19:40:14.676Z,"13km SSE of Bombay Beach, CA",earthquake,0.38,0.62,0.114,11,reviewed,ci,ci
2020-08-10T16:42:40.580Z,33.2418333,-115.6955,5.09,1.14,ml,8,167,0.08465,0.22,ci,ci37452533,2020-08-13T20:20:45.116Z,"12km SSE of Bombay Beach, CA",earthquake,0.66,2.1,0.168,4,reviewed,ci,ci
2020-08-10T16:52:44.470Z,33.2561667,-115.679,3.04,1.35,ml,37,51,0.08685,0.19,ci,ci39338631,2020-08-11T01:06:58.753Z,"12km SSE of Bombay Beach, CA",earthquake,0.19,0.42,0.165,38,reviewed,ci,ci
2020-08-10T16:56:32.970Z,33.251,-115.6795,3.07,1.53,ml,55,52,0.08282,0.19,ci,ci39338639,2020-08-13T21:47:10.670Z,"12km SSE of Bombay Beach, CA",earthquake,0.15,0.35,0.163,25,reviewed,ci,ci
2020-08-10T16:57:21.570Z,33.265,-115.6575,5.38,1.25,ml,28,72,0.0673,0.25,ci,ci37452613,2020-08-14T18:30:19.390Z,"12km SE of Bombay Beach, CA",earthquake,0.44,1.09,0.132,10,reviewed,ci,ci
2020-08-10T16:57:42.190Z,33.2603333,-115.664,2.98,1.6,ml,51,51,0.07366,0.25,ci,ci37452605,2020-08-13T22:35:42.510Z,"12km SSE of Bombay Beach, CA",earthquake,0.19,0.4,0.131,20,reviewed,ci,ci
2020-08-10T16:59:02.980Z,33.2555,-115.6793333,2.72,1.97,ml,65,48,0.08645,0.18,ci,ci39338663,2020-08-14T15:45:55.048Z,"12km SSE of Bombay Beach, CA",earthquake,0.12,0.24,0.18,23,reviewed,ci,ci
2020-08-10T17:04:55.880Z,33.2603333,-115.678,2.74,1.27,ml,36,65,0.08507,0.21,ci,ci39338671,2020-08-14T16:22:09.273Z,"11km SSE of Bombay Beach, CA",earthquake,0.25,0.43,0.199,20,reviewed,ci,ci
2020-08-10T17:06:52.870Z,33.2198333,-115.6931667,12.3,1.74,ml,16,116,0.06959,0.3,ci,ci37452677,2020-08-14T16:52:27.463Z,"15km SSE of Bombay Beach, CA",earthquake,0.58,1.17,0.079,5,reviewed,ci,ci
2020-08-10T17:07:01.840Z,33.254,-115.6821667,3.65,1.6,ml,55,51,0.08655,0.19,ci,ci39338679,2020-08-14T16:41:24.220Z,"12km SSE of Bombay Beach, CA",earthquake,0.14,0.31,0.172,25,reviewed,ci,ci
2020-08-10T17:08:20.560Z,33.2668333,-115.6901667,2.68,2.43,ml,51,40,0.09285,0.22,ci,ci39338695,2020-08-10T18:07:26.275Z,"10km SSE of Bombay Beach, CA",earthquake,0.18,0.45,0.155,103,reviewed,ci,ci
2020-08-10T17:11:51.610Z,33.2591667,-115.6838333,2.39,2.19,ml,42,52,0.09009,0.18,ci,ci39338711,2020-08-11T23:42:41.410Z,"11km SSE of Bombay Beach, CA",earthquake,0.18,0.34,0.169,88,reviewed,ci,ci
2020-08-10T17:12:32.020Z,33.2615,-115.6798333,2.89,2.07,ml,32,53,0.08633,0.19,ci,ci39338719,2020-08-11T23:43:55.886Z,"11km SSE of Bombay Beach, CA",earthquake,0.22,0.37,0.21,19,reviewed,ci,ci
2020-08-10T17:13:17.540Z,33.2628333,-115.6828333,2.8,1.6,ml,47,53,0.08854,0.2,ci,ci39338727,2020-08-14T17:40:27.741Z,"11km SSE of Bombay Beach, CA",earthquake,0.19,0.34,0.162,25,reviewed,ci,ci
2020-08-10T17:13:45.170Z,33.2688333,-115.6881667,2.76,1.91,ml,44,57,0.09169,0.22,ci,ci39338735,2020-08-13T17:37:02.420Z,"10km SSE of Bombay Beach, CA",earthquake,0.2,0.38,0.131,45,reviewed,ci,ci
2020-08-10T17:13:55.950Z,33.264,-115.677,2.7,1.85,ml,22,66,0.08352,0.26,ci,ci37452493,2020-08-13T18:08:13.988Z,"11km SSE of Bombay Beach, CA",earthquake,0.46,0.66,0.07,11,reviewed,ci,ci
2020-08-10T17:18:13.620Z,33.2668333,-115.6755,2.74,1.02,ml,24,69,0.08182,0.19,ci,ci37452725,2020-08-14T18:31:05.717Z,"11km SSE of Bombay Beach, CA",earthquake,0.34,0.57,0.094,4,reviewed,ci,ci
2020-08-10T17:18:44.330Z,33.2576667,-115.6841667,2.41,1.5,ml,58,51,0.09051,0.19,ci,ci39338743,2020-08-14T18:05:17.630Z,"11km SSE of Bombay Beach, CA",earthquake,0.12,0.26,0.149,24,reviewed,ci,ci
