time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource                                                                                                   
2009-03-25T05:56:37.200Z,33.2933333,-115.7148333,4.543,1.55,ml,42,39,0.06111,0.22,ci,ci14434536,2016-03-09T04:34:58.199Z,"6km SSE of Bombay Beach, CA",earthquake,0.3,0.58,0.112,50,reviewed,ci,ci                                                                
2009-03-25T05:53:33.070Z,33.2948333,-115.7145,5.753,1.76,ml,12,68,0.05973,0.23,ci,ci14434528,2016-03-09T17:06:28.981Z,"6km SSE of Bombay Beach, CA",earthquake,0.56,3.12,0.09,3,reviewed,ci,ci                                                                    
2009-03-25T05:52:56.240Z,33.2923333,-115.7146667,4.943,2.05,ml,47,38,0.06211,0.27,ci,ci14434512,2016-03-09T15:11:49.334Z,"7km SSE of Bombay Beach, CA",earthquake,0.37,0.63,0.134,65,reviewed,ci,ci                                                               
2009-03-25T05:50:55.750Z,33.2905,-115.723,4.173,2.99,ml,74,37,0.06255,0.24,ci,ci14434504,2016-03-09T11:39:36.743Z,"7km S of Bombay Beach, CA",earthquake,0.27,0.51,0.12,205,reviewed,ci,ci                                                                        
2009-03-25T05:40:56.780Z,33.326,-115.7156667,5.063,1.03,ml,19,49,0.03036,0.25,ci,ci14434488,2016-03-09T04:34:56.691Z,"3km SSE of Bombay Beach, CA",earthquake,0.46,0.72,0.181,15,reviewed,ci,ci                                                                   
2009-03-25T05:23:52.850Z,33.293,-115.7028333,7.863,1.73,ml,34,43,0.06468,0.24,ci,ci14434472,2016-03-09T10:16:43.684Z,"7km SSE of Bombay Beach, CA",earthquake,0.39,1.57,0.137,63,reviewed,ci,ci                                                                   
2009-03-25T05:22:41.470Z,33.2931667,-115.7073333,4.591,1.59,ml,8,168,0.06314,0.12,ci,ci14434464,2016-03-09T11:39:34.231Z,"7km SSE of Bombay Beach, CA",earthquake,0.93,1.01,0.066,11,reviewed,ci,ci                                                               
2009-03-25T05:22:09.140Z,33.2883333,-115.7211667,4.438,2.34,ml,69,38,0.06491,0.24,ci,ci14434456,2016-03-09T13:22:19.015Z,"7km S of Bombay Beach, CA",earthquake,0.26,0.44,0.143,125,reviewed,ci,ci                                                                
2009-03-25T05:21:00.640Z,33.3006667,-115.6981667,12.353,1.13,ml,13,81,0.05956,0.16,ci,ci14434480,2016-03-09T10:16:42.337Z,"6km SSE of Bombay Beach, CA",earthquake,0.71,1.17,0.114,8,reviewed,ci,ci                                                               
2009-03-25T04:16:50.390Z,33.319,-115.7278333,4.473,1.79,ml,42,37,0.03384,0.21,ci,ci14434432,2016-03-09T04:34:55.413Z,"4km S of Bombay Beach, CA",earthquake,0.29,0.48,0.099,69,reviewed,ci,ci                                                                     
2009-03-25T02:22:22.250Z,33.3113333,-115.7266667,4.613,1.43,ml,29,39,0.04154,0.23,ci,ci14434392,2016-03-09T04:34:53.228Z,"4km S of Bombay Beach, CA",earthquake,0.34,0.54,0.085,25,reviewed,ci,ci                                                                 
2009-03-25T02:16:30.150Z,33.3213333,-115.6921667,10.223,1.46,ml,28,86,0.04644,0.2,ci,ci14434384,2016-03-09T06:00:12.387Z,"5km SE of Bombay Beach, CA",earthquake,0.45,1.05,0.115,40,reviewed,ci,ci                                                                
2009-03-25T02:03:39.310Z,33.3098333,-115.7366667,7.593,1.2,ml,23,53,0.04277,0.19,ci,ci14434368,2016-03-09T03:10:55.270Z,"4km S of Bombay Beach, CA",earthquake,0.38,1.51,0.056,14,reviewed,ci,ci                                                                  
